Freq/Samples;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79
0.1;2.208162908;3.380564868;3.382085609;3.037291135;3.463124628;3.567206085;3.861738688;4.051518753;3.219480347;2.84246992;3.143419452;3.960747509;2.511447408;3.101330478;4.437574467;4.330518496;2.39717088;2.504513401;2.824076865;4.18041209;4.152532372;4.347020914;4.417171302;4.525972729;3.362272519;3.267300647;3.486904735;3.177515343;4.456569826;4.920702718;4.349404152;4.211166966;3.374457661;3.537611278;4.152892718;4.609571692;3.104244971;3.772480836;3.94196472;4.003498733;4.217216934;4.527577721;2.874624248;3.07947464;2.873003801;4.70392677;4.04832225;5.56956097;3.587293919;3.641633577;3.819325943;4.473669747;4.281001871;4.887355625;4.953281226;4.414586067;3.692009883;2.534206477;5.274552954;4.548838167;3.871741054;4.304579009;3.975127434;4.743775028;3.748559079;5.01985768;5.455055475;3.129880616;4.701311214;3.851581015;4.109263583;6.033787493;3.852919345;4.1983723;4.3938261;3.769391132;3.350972626;4.938027815;5.601565035
0.133333;0.893227533;1.596634747;1.637352251;1.916868952;2.891972936;1.018470662;2.509641247;2.917421847;1.816911046;2.097493028;2.20313708;2.33912497;2.653429646;2.176872103;3.526671341;3.062895322;1.463540997;1.902097459;1.541625036;2.436282228;2.58815311;3.93877592;3.45501478;3.594106721;1.921969611;2.509595105;0.648989707;2.57614048;3.532338011;3.160512651;2.893111083;2.633709673;2.070677366;2.785192451;3.679747047;3.392461888;1.819340829;2.739265028;2.893657453;1.824570914;4.356868643;2.819413268;2.415803777;2.535031233;2.764169944;3.813342077;2.393175099;4.648741295;2.731382749;2.769697135;2.799575036;3.545317553;3.376887498;3.63571984;3.337720134;2.525463082;4.13002147;2.41680803;4.478537833;4.027142206;2.991234094;3.893225352;2.757944025;4.017924007;2.976089804;3.850215402;4.801991524;3.003373565;3.036819755;2.310721052;4.163404579;5.123162174;3.554037914;3.716378407;3.024396944;3.397197805;3.511763979;4.05478775;3.360016295
0.166667;0.261095127;-0.555217583;-0.207351187;0.879338492;2.132484759;1.160648909;1.997575846;2.121670363;0.105026715;0.423664003;0.772716788;1.077370311;1.307824673;0.447349285;2.883448188;2.074239134;0.907649913;1.341160657;1.59607839;1.891098182;1.71430145;3.004104044;2.485577957;2.311507125;1.229052275;1.549896049;1.08791497;1.128426643;1.994964173;2.202274403;2.296130334;1.331167502;0.859464965;0.248944989;1.817252652;2.024796331;1.292894091;1.929409778;2.472673342;1.562258656;3.192662813;2.043251275;1.275924195;1.881542119;2.218706741;3.102665961;2.225477389;4.297992488;2.335408053;1.864870485;1.927686182;2.624957021;2.507298391;2.029520362;4.279909601;1.861264759;2.807378192;2.188535268;3.578030345;3.154572597;2.321251542;2.522851993;1.888125103;3.077993186;3.210965487;2.440982531;3.163531442;1.396471079;1.464990804;2.510472926;3.817095652;3.974515782;2.627351862;2.984908143;2.565150718;3.494714514;2.759774047;2.95739276;3.481787301
0.2;-0.717388498;-0.443788617;-0.420667754;-0.004228895;0.87772776;0.283179327;1.079560458;0.693225559;-0.859502144;-0.376207817;-0.235602123;0.09939655;0.301370157;0.209539439;1.111868926;0.123064891;0.333201612;0.003341088;0.830881998;1.19027527;0.217234738;2.039743189;1.489744256;0.193197793;0.077595532;0.030695504;0.29163204;0.231305419;0.946504064;1.691309266;2.106653686;0.971456537;0.737867;0.28060045;0.657172425;1.50437033;1.778505151;0.440839823;0.915706954;0.624304574;2.104776497;1.800183919;0.496241527;0.138566455;1.47199589;1.866066183;1.551749859;3.206219424;1.63625387;1.132437312;1.529849644;1.552723924;2.237818024;1.547154793;3.302880161;1.537491748;2.536136592;1.173278625;2.972547294;2.460761313;2.292329022;1.796848478;1.256743552;2.413684418;2.384805544;2.125115876;3.379141765;1.648607674;1.853967312;2.335244276;2.884599765;3.911342285;1.514094656;2.61378995;2.308972895;3.278888675;1.257459606;2.647357739;3.185815375
0.233333;-2.307055635;-1.884849469;-0.575834544;-1.100582504;0.222854673;-1.05398287;-0.477687481;-0.47275179;-1.540557854;-0.776583326;-0.16926075;0.14818876;0.000148025;-0.306922456;-0.152937169;0.251923765;-1.218148362;-0.794460293;0.106448174;0.007749474;-0.261740103;0.500953693;1.076095243;-0.019430907;-0.822968295;-0.505147694;-1.021022818;0.36395574;-0.070727231;1.400644676;1.481060597;-0.342922696;-0.096894957;-0.326068841;0.789713776;0.754294093;0.685380836;-0.884949871;0.333016668;-0.62922176;1.199042911;-0.120399284;0.19052406;0.391821813;0.476489386;1.097291673;0.668798922;2.033703148;-1.043322374;0.983482892;0.853435829;1.094992578;0.705984188;0.971268133;1.618230968;0.191759545;0.976748547;0.305954888;2.221569975;1.648446252;1.156903135;1.002102465;1.942426885;2.628368447;1.731832957;1.255351995;2.758266554;1.524067526;1.638059323;-0.176722804;2.106833772;2.251856491;1.565592242;1.845620557;1.647515108;1.794662858;1.168569588;2.48848122;3.168579306
0.266667;-2.05616257;-1.537491407;-1.544593316;-1.692674944;-0.58595785;-1.582181126;-0.469801736;-0.675905;-1.573546379;-2.122929968;-0.703481484;-1.357158281;-0.641973318;-0.348956731;-2.185823528;-0.92767473;-1.972362346;-1.265981852;-1.47618596;-1.122460175;0.194306092;-0.8443603;0.542918806;0.39921069;-1.078998981;-1.369177003;-2.382900086;-0.023299433;-0.016503247;0.225584197;1.582232256;-1.033006667;-1.195895537;0.080263328;0.547201207;0.040680825;-0.618211253;-0.577882527;-0.904515939;-0.597991541;0.380376187;0.099146337;0.19965893;0.149974759;0.766910715;1.121783575;0.489791918;1.083529662;0.523315859;0.598178716;-0.64840522;1.103646823;-0.690746359;1.049762925;1.176581897;-0.2819637;-1.135565181;0.850742959;1.614207664;0.753337387;-0.051774137;-0.517816252;1.027765943;1.806966257;1.366669497;0.94955009;1.17228639;-0.001530725;1.092837289;0.95104126;0.514606979;1.084717722;0.593029667;0.345549552;0.663747384;0.788040177;1.161377529;2.283654369;1.751991537
0.3;-1.568044681;-1.074445952;-1.325934848;-1.545038068;-0.956109623;-0.783549787;-1.089656454;-0.67749821;-1.243185318;-2.006769654;-1.417787498;-1.64701047;-0.680080521;-0.323285172;-0.063944456;-0.254284385;-1.640494078;-0.250524575;-0.964415674;-0.506952895;-0.857294204;0.324608796;0.218813422;0.383458747;-1.267024516;-0.42418254;-1.070725896;0.319838182;-0.538242277;-1.054189061;0.538297967;-0.569129811;-0.228925551;-0.658150048;-0.415427577;-0.467810707;-0.64314242;-1.624909625;-0.871358762;-0.495916309;-0.050688193;0.911182209;-1.104090925;-0.338994081;0.131001387;0.72692264;0.62422569;0.9242933;-0.24105966;0.226145437;0.082116758;-0.048934207;-0.096518265;0.516925663;1.300636536;-0.07874881;0.044078474;0.185946334;1.543472868;0.953757532;0.063053471;-0.221554052;0.044108591;1.246052598;1.089783761;1.459042125;0.620624894;0.873482432;0.474997405;0.45972595;0.777972682;2.46569121;0.142133028;0.978926608;0.287596725;0.81007783;1.758702176;1.494912158;1.558832218
0.333333;-0.189288632;-0.211499166;-0.145588402;-0.319261919;-0.043554335;-0.076370411;-0.727398825;-0.223277;0.228817378;-0.476753174;-0.320622574;-0.174007946;0.311981555;-0.026996843;0.15021734;0.474083062;-0.347856128;0.425782247;-0.041073369;0.144956533;-0.200444766;0.863201984;0.431062161;0.129156907;-0.02313186;0.070141483;0.158826176;0.760311451;0.215551281;-1.181524009;-0.539927649;-0.140426922;-0.220248692;0.323002369;-0.705995586;0.070184174;0.349443763;-0.23216667;-0.221386149;-0.608206767;-0.232254981;0.942505834;0.234652486;0.00231627;-0.258953775;0.317649807;0.245622863;0.022564595;-0.054175787;0.253737996;0.517892617;-0.17605426;0.385969287;-1.019973269;1.173285601;0.282193115;0.582281363;0.08149101;1.247215956;1.21756114;0.424767195;0.179841112;0.456826751;0.775730904;0.949800824;1.122536569;1.377619178;1.170430085;0.426460087;0.457917304;1.009052222;2.377254847;1.183331496;0.319139899;0.804638917;0.884037254;1.188771849;1.926865641;1.738843085
0.366667;-1.322519541;-1.342579912;-1.222245729;-1.021290925;-1.072253439;-0.878425313;-0.91884994;-1.337503498;-0.673520337;-1.444130594;-1.336099743;-0.787462152;-0.526913842;-1.110375789;-0.932586086;-0.556607621;-1.621371713;-1.114780327;-1.384341687;-1.126617838;-0.593882943;-0.066660208;-0.477047076;-0.417939671;-1.234336588;-1.244393604;-0.92859567;-0.851147833;-0.139079451;-2.317658109;-1.821580823;-0.679698825;-1.682943188;-0.445452199;-0.985007819;-1.120174292;-0.576285636;-0.994814552;-1.277721759;-2.367706893;-1.245335393;-0.585772609;-0.679772853;-1.341731723;-1.412410004;-0.155796084;-1.147150195;-1.914539448;-0.74641698;-1.051025776;-1.019612226;-0.283013113;-0.234442288;-0.600497699;-0.63586048;-0.500777597;-0.321926871;-1.200740694;-0.395321376;-0.188459522;-0.742070652;-0.645747245;-0.734212788;0.209719049;0.539931829;-0.316468489;0.323004883;0.102070429;-0.614520325;-0.28135374;0.296091594;1.155476404;0.234425084;-0.656540377;-0.091126226;0.359317724;0.207169018;0.721041308;0.6603865
0.4;-4.024474217;-3.716339574;-3.626220486;-3.637828962;-2.987598597;-2.170585821;-1.790929951;-3.043626419;-3.37686552;-3.121635585;-3.752348751;-2.643130594;-2.534846101;-3.119823428;-3.634819039;-1.34486656;-4.225018528;-4.311709316;-3.787634465;-3.840992921;-2.461834246;-2.174651973;-1.596925629;-2.625413615;-3.864289909;-3.567933986;-4.853547863;-3.184884237;-1.713839448;-2.082058637;-2.788793923;-2.270432598;-2.597439974;-3.261201161;-1.962336893;-2.516686356;-1.591804517;-2.879922811;-2.071143434;-3.133397656;-2.919286937;-2.218433251;-3.125493974;-2.349180842;-3.009661531;-1.283178117;-0.983189444;-1.790098027;-1.870611638;-2.962258442;-2.905723064;-0.928758644;-1.32149589;-1.34714206;-0.919287592;-2.588663378;-1.442536249;-2.431919292;-0.780541109;-1.634964457;-2.876807126;-1.609282038;-1.657083101;-2.202503499;-0.403328325;-1.58303169;-0.129690569;-2.554665494;-1.795834198;-1.607767209;-0.506699428;-0.215658312;-1.746254552;-1.704419809;-0.678859953;-0.743860927;-1.144386234;-0.998878391;-0.155699878
