Freq/Samples;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190
0.1;2.483289521;2.902663;1.958880247;2.653158256;1.644906893;3.056299521;2.83119526;3.028276856;3.435737;3.821371259;3.759710604;3.457493943;2.614497945;3.287337392;4.179009785;4.305701328;4.641509716;4.315855855;4.039598631;4.413239492;3.821321227;3.038984595;3.429719328;2.139478169;2.505359348;3.081410128;2.763897034;2.534970273;4.176201399;4.334162051;4.167838756;3.658921352;3.167027186;3.726160632;3.281877021;4.309353761;4.632828889;4.875032129;3.739164369;3.828576609;3.282751038;4.437638467;3.069162959;3.250382247;2.932331861;3.839141535;3.08917634;2.773649003;1.785637034;4.406217141;4.137657635;3.991715267;4.224855142;4.579454095;2.230212979;3.601751431;5.039019894;4.3742872;5.008558917;1.42556501;3.526840917;3.525542144;4.05908147;3.080694486;3.126723017;2.777958102;4.266506064;4.163666107;4.496543759;5.050560185;4.212604154;4.515062555;3.968262242;4.99726574;3.949039554;3.514689987;4.244117115;3.599351329;2.90089012;3.47790752;3.425053583;4.248777282;4.151583214;3.945622887;3.974074496;3.175192396;3.897313238;5.006198024;3.996475968;3.875075859;4.361526388;3.046536751;3.348346367;3.001707521;3.317889353;5.163289033;4.488542454;4.639268353;5.13982088;4.865713047;4.506747014;3.342901311;5.056992338;4.645429133;4.39222542;4.038418459;3.193873984;4.07199061;3.628340115;4.120437721;3.391156786;3.741858132;4.905938619;5.445778676;4.773504343;3.963589273;4.864165344;4.233319387;4.732503864;5.76351393;4.607228799;2.69601514;4.140607818;3.714192987;4.346411505;4.207061025;4.326110417;4.483156661;4.546826443;5.284378247;5.378245827;5.323389121;5.527924738;3.72921695;4.357490874;4.169456268;4.114885251;3.693834503;3.767644981;3.736497319;5.03428299;4.936991006;4.344763202;3.853046264;3.563161269;4.116085865;4.627775541;4.955031639;3.423215297;4.679939969;5.277014799;4.03010846;4.878705061;5.534230947;4.483151102;5.089822803;3.957586407;2.842214981;4.614346463;3.898142622;3.465768814;3.578548032;3.728012969;4.35306128;4.459974892;4.73550642;4.639243942;4.732485076;5.122288169;5.422573897;4.194423853;3.261807054;3.924045693;3.789002434;2.098928085;4.465856601;3.870245212;5.232742865;4.42232507;5.25560407;4.379875121;3.33129348;4.124228706;3.930608215;4.343322766;4.452966618;5.0490587;5.299470231;6.547269728;5.407205776
0.133333;1.183204422;2.434973311;1.735825742;0.690489515;1.159253085;1.389402509;1.435311495;2.219968735;2.915936546;2.180232819;1.934636073;2.075295736;1.390972132;1.639425768;2.840971094;1.720057646;2.924427629;3.29181318;2.851502467;3.494090013;2.037789494;2.213560559;2.004693963;1.26804463;1.821172627;1.558699101;0.941772156;1.126102706;3.075073644;2.2366041;2.484399322;2.009546605;2.526401557;2.094438221;2.749231289;2.607064317;2.652388487;3.089798909;2.982562176;1.932801661;2.796318184;2.956195188;2.589030868;2.072198065;1.441181508;2.531037054;1.701813061;1.523512717;1.973726912;2.666407609;2.458803852;2.632620761;2.905143828;2.642662661;2.240578914;2.671841115;2.969742292;2.958614919;3.370626811;1.875932701;3.09558536;2.142590301;2.243171551;2.799093531;2.405040305;0.964023983;2.234756113;2.673528492;2.724659414;3.180697179;2.664735494;3.052248467;2.932454208;4.039144885;2.909998681;2.393024655;3.072260269;2.204204533;2.50108059;2.210906235;2.529424425;3.078433087;2.808517385;3.320199207;2.382119445;1.153926041;3.43561226;4.068992839;2.86330709;2.97293819;2.985440248;1.959793722;2.894040085;1.462290099;1.618223477;3.698315937;3.851802343;3.519146076;4.14892548;4.163329012;3.555494702;3.18916919;3.926848566;3.334694691;3.047965462;2.423631275;2.915202744;2.267234761;3.124915887;2.98803971;2.857050424;2.790093227;3.589733325;4.258264611;4.150240765;4.064547542;3.332333351;3.455300062;3.854721061;4.625145544;2.984050786;2.440969268;1.492568619;2.443123164;3.567650703;3.412133501;3.169663805;3.865192424;3.635536518;4.196981549;4.338609446;4.356017549;4.752282958;3.222163791;2.60769348;3.172561301;3.386061348;3.58738231;1.739340523;2.89968279;3.75996325;4.010923916;3.078074018;3.827310365;3.240018864;3.227017877;3.759169893;3.802136559;2.412778204;4.342092395;4.097268192;3.673839369;3.546807357;4.614634759;4.574780249;4.503966073;3.522811097;3.420811852;3.804298633;3.754831684;2.816301215;3.475765666;2.904706042;4.718652649;3.755649675;3.904933225;3.736168673;3.290326439;3.318414016;3.928877569;3.831425755;3.07635751;4.028704704;3.905379165;1.968740794;3.795287733;2.350925061;3.14643156;3.782665013;4.427426158;3.798868636;3.128948504;3.719446221;3.213506384;3.225338282;3.400725832;4.365896848;4.170099622;5.265677436;4.843686082
0.166667;0.904827318;0.644105;0.179748737;0.484703612;0.056909348;0.653824839;0.093844144;1.723682803;1.869171415;-0.373686629;1.028282181;0.980269567;-0.014281079;1.335656463;1.334172652;1.817672104;1.597116409;2.620815737;1.747851558;1.892690022;0.406056624;1.112300872;0.918701891;0.36384;0.754499947;0.787581001;0.520029581;0.71294089;1.49266276;0.562015039;1.317243239;1.068677542;1.39895374;1.618144413;1.823528821;1.331644936;1.757152435;1.335535048;1.349561584;1.619536567;2.057208556;2.126720304;1.523651542;1.15869696;0.483800466;1.317104809;0.858531914;0.129562831;0.902840304;1.519834632;1.683231847;1.211281063;1.704358565;1.545329281;0.848103398;1.79060028;1.324182784;3.047396193;2.571151417;1.644125359;1.154873358;0.901546938;1.50493108;1.563892457;0.964901553;0.950979363;1.639827076;1.023085759;2.30020029;2.138772711;1.436664591;2.167944115;1.640975695;1.897601126;1.99859983;1.245926108;1.868600582;0.847809117;-0.013823352;1.178498259;2.506344144;2.216332111;2.434181958;2.899170209;3.067120122;0.72355391;2.965518169;3.247001931;2.319614242;1.092683471;0.749027602;1.355232841;2.062901;1.937134056;1.853084628;2.854975246;2.585123707;3.064981156;3.451218017;2.615427134;3.056532884;3.547657944;2.640175679;3.223740038;2.457353311;2.053696065;2.026837097;1.291541785;2.405977342;1.57560315;2.123659785;1.073279637;3.529268605;2.612321502;2.880216846;3.237203037;1.840424683;2.442470436;3.045485914;3.7373819;1.626430222;1.365996856;1.877477033;1.833883339;2.146353681;1.918384089;1.797349439;3.355767033;2.302309996;2.890680357;2.926156981;3.097413273;3.342881959;2.213115692;2.689640141;1.792435187;1.612218113;1.735022717;2.042948877;2.768038903;3.297298045;1.422074307;2.830464877;2.601807062;2.525924651;2.826537678;2.992161412;2.16843901;2.424366663;3.883411939;3.515588817;3.035083697;3.038790323;3.471030873;3.140043456;4.337682067;2.768944034;3.636073228;3.213179289;3.274143566;2.356391086;2.765149559;1.764022782;2.798316629;2.755502726;2.606943507;2.842249749;2.444766774;2.721832474;3.17281117;3.003948272;3.233671616;3.330257784;3.135741802;2.846522286;3.319501671;2.500410506;2.399775809;3.49582671;3.813051194;3.916626742;2.424051879;2.668879519;3.192735797;3.089359312;2.748861712;3.084808467;3.886648228;3.800659822;4.199724229
0.2;-0.202474911;-1.142193587;-0.992409252;-0.577479202;-2.103774126;-0.535074063;-1.383188363;-0.427889225;-0.497210696;0.773760489;0.265413771;0.147151341;-0.30610689;-0.078622909;0.294259843;1.164090179;0.030136315;1.390857618;0.63797118;-0.042546019;-0.038166413;-1.055878097;0.218084083;-0.753778988;0.244700666;-0.769674776;0.122096661;0.037777892;0.764722249;0.676116274;1.216612295;1.094163574;0.812585106;0.872052089;0.335789801;0.81070129;1.393755086;1.085409895;0.541509858;0.79582158;0.620240473;1.474443063;0.020089814;-0.249687478;0.53211234;-0.350503132;0.314555288;0.662336711;0.191322185;-0.178429833;1.190504619;0.629161007;0.983174527;1.144584961;0.830828467;0.697153362;1.672447355;1.507297883;1.565565029;0.203873819;-1.168407251;-0.151985846;0.798081577;0.62294514;-0.76864018;0.944346976;0.556680567;1.491652401;1.589080273;1.559019184;1.021710718;1.070916461;1.257903804;1.526841504;1.506806722;1.143384238;1.235879204;-0.38226779;-0.234906102;0.542983388;1.483962269;1.532193069;2.120943288;1.768187782;2.31349829;0.947791966;1.949031172;2.136095354;1.048472003;-0.611467582;0.635308637;0.424803091;1.153350906;0.816804227;0.64139862;1.758168491;1.600022715;2.412583018;2.396561466;1.539844409;1.932720154;2.758987651;2.146813361;2.433969239;2.152256327;1.85579469;0.500375326;0.497798773;1.124987128;0.776847157;1.402155764;0.727540305;2.321313026;2.234037805;1.378826251;2.137217384;2.178525741;2.328194832;2.61535498;2.728796861;1.451760244;0.792815248;1.641107372;1.793645013;1.651285407;1.623405509;1.502058683;2.102114591;2.06755847;2.339702398;2.283495876;2.176371763;2.801841455;1.670993938;0.865494204;0.695788182;1.783403522;2.332127088;1.56395644;1.864001745;2.473749268;2.072102937;2.709051854;2.028954453;1.129110407;1.375337085;2.150829271;1.439875172;2.650245937;3.108636669;1.824640422;1.333356773;2.948617957;2.307087476;2.317244535;4.004009944;1.584698111;2.447651196;1.895335851;1.804931135;2.662678906;1.762557114;0.655388643;1.515157117;1.318844835;1.608562276;1.655362964;2.642391732;2.021746196;2.93879494;2.107585492;2.350459898;1.709628606;1.190939187;2.092185586;2.200600685;2.177311708;2.993833322;2.573732234;2.898147188;3.317972415;2.841114856;2.027177989;1.565922677;1.986876229;1.89931453;2.370250243;3.282616106;3.652841622;2.138388532
0.233333;-1.089740769;-1.436167253;-1.25283755;-1.096265653;-1.91397452;-1.56279492;-1.557599757;-0.767105349;-0.523069659;0.131499333;-0.366294079;-0.481334118;-0.595643769;-0.374787958;-0.79582074;-0.524791615;-0.615063359;0.043007315;-0.044831625;-0.366195019;0.214152483;-0.925540984;0.081687652;-2.112232494;-0.538397354;-0.971857943;-0.220041588;-1.440104861;-0.115961356;0.098281367;0.212039381;0.345257049;0.106841074;-0.216425158;0.52742821;-0.233619851;1.12418565;0.326331906;-0.054683762;0.175730996;0.324047252;0.928163109;-0.623060638;-1.897820324;0.030369183;-0.425865156;-0.575456075;-0.062145398;-0.007755521;-0.362491607;0.600230467;-0.363101331;-0.160360123;0.248045969;0.48903682;-0.041566975;1.12501734;1.281557674;-0.064946927;-1.122813105;-1.434999801;-0.159728529;-0.072714737;-0.079781207;-1.030970683;-0.007594926;0.821033852;0.597300859;1.403430088;1.046358395;0.118712313;1.031205124;0.38549889;1.232991307;0.082022334;0.249052997;0.200112773;-0.242596853;0.190234758;-0.400369022;-0.237848113;1.366265189;1.26271452;1.100620009;0.549342119;-0.20953555;1.124490458;1.493263604;-0.340580903;0.434390721;-0.737947698;-0.072289477;0.687000174;-0.08792178;-0.295663098;0.169366555;0.950065689;1.383753245;1.294507249;0.203251702;1.284620856;2.045900445;1.542706501;1.491543483;0.759106173;-0.191068577;0.828641803;-0.339290651;-0.993454052;0.183401473;0.522938133;0.734212239;0.789831941;1.864922964;1.02129862;1.488689296;1.808065096;1.431331948;0.858291394;2.361569759;0.344160632;1.112175224;0.982606412;1.304530723;1.513353847;-0.018888656;1.218460559;0.60820255;1.902159541;1.280308314;1.567526108;2.056970557;2.698703389;1.243114247;0.413365191;1.384639359;0.67441468;1.408161682;1.096518282;1.353997606;1.669413368;1.473795571;1.54358029;1.458215805;1.461434291;1.624704433;1.615267123;1.503441264;1.714607054;1.752864206;1.60236639;1.066668823;2.190865684;0.726107438;2.152577336;3.130442117;0.670165408;1.419543541;1.565130182;1.515027997;2.264425409;0.597293956;1.127030969;1.939450254;1.694990998;1.410596886;1.710596401;2.11501052;1.871935205;3.076393026;1.830907967;1.400475555;0.982487445;0.945306193;1.296776197;0.967182542;0.759058775;1.535473903;2.407862804;2.351098556;2.385107596;2.438244599;2.032209424;0.628833096;2.470790538;1.037361173;2.499808662;1.797044841;3.201244699;1.780944354
0.266667;-1.103222885;-2.476670615;-1.569159136;-1.811542308;-2.669344101;-1.801483732;-1.81959913;-2.034150103;-0.864921728;-1.0157155;-0.812939644;-2.080655256;-0.689329781;-0.89542464;-2.768975706;-0.783186384;-0.018512953;-0.717475608;-0.78421295;-0.661875707;-0.883717106;-1.717496798;-0.986037487;-1.026785075;-1.850421221;-1.323723593;-1.696934511;-1.727642113;-0.743970775;-1.163151788;-0.559762399;-0.387503297;-0.441400538;-0.063317117;-0.443120658;-1.326949057;0.385810714;0.322721153;-0.60561061;-0.017543396;0.25731804;-0.299138005;-1.076699565;-2.816059272;-1.725192029;-1.710503264;-0.984731215;-1.183628678;-1.122354104;-0.472616644;-0.311875394;-1.469383481;-0.325942507;-1.467573818;-0.070433743;-0.191807491;0.255712016;0.55927349;-0.216458403;-1.477491587;-2.105890663;-0.419585912;-0.799714996;-0.949139801;-0.521930048;-1.065135853;0.084360048;-0.662965691;0.029011675;0.047920277;0.116784602;0.208594584;-0.443413926;-0.165077806;-2.183598584;-0.297504374;-1.31196016;-1.549399075;-0.968622824;-0.55387701;-0.185428126;0.925994878;0.16029398;0.394119008;-0.121572507;0.507985396;0.621463787;0.60569799;-0.535237783;-0.57527646;-2.025667982;-0.917186977;0.042181164;-1.333081416;-0.933649727;-0.048900995;0.131359718;1.123492571;0.155505784;0.172116661;0.448877287;1.548116096;0.857977458;1.630586268;0.285036347;-0.042988326;-0.060133302;0.249177874;-0.17164083;0.529127842;0.006831728;-0.180589019;0.303695579;1.37794501;0.022613855;1.494829109;0.223806118;0.391421646;1.530500684;2.165593612;-0.349079383;1.062944051;0.061245616;0.965066179;0.940502667;0.235804621;0.364557031;0.861861559;1.270325455;0.95757667;1.060859218;1.762362006;1.932876297;0.08563523;0.993617815;0.416894344;0.138665253;0.859711358;-1.112074376;-0.563465564;1.532110764;0.955042569;0.836714345;0.842627521;1.218847779;1.671087368;0.787186766;1.072448407;0.412454943;1.243757429;1.718183303;1.342538125;1.106447998;1.400175863;1.746302147;1.725071487;0.502732332;1.177817998;1.377897103;0.549385279;0.878328762;1.110108299;0.858198135;1.611575543;0.424299183;1.646267436;1.629904514;2.088647362;1.77776145;2.573278421;1.474505368;0.376537266;0.149876144;0.720462526;1.085965055;0.574101919;0.410094449;1.807950161;1.94759298;1.481933479;2.586135271;1.722591621;1.068328576;1.392211286;2.373021719;1.461989686;1.67738184;1.770714664;2.655893021;1.222026304
0.3;-0.169679431;-0.174194018;-0.638900205;-0.206974691;-0.580348702;-0.349365437;-0.056482359;-0.692065409;-1.115462402;0.237433474;-0.280756322;-0.016867003;-0.470966211;-0.042944169;0.235904301;0.311435128;-0.167933535;0.244257021;-0.115942222;0.491625457;0.036115602;0.149874802;0.065810615;0.048748231;-0.343494145;0.130390929;0.005099964;-0.153922133;0.041781659;-0.191618329;0.648663861;0.148426441;0.353045628;0.445124768;-0.468051592;0.368442776;-0.235364223;0.645916512;0.270399239;0.221662061;-0.17935658;0.056101671;0.355273604;-0.209067971;-0.460157901;0.220283105;-0.179945666;0.106811357;0.016009875;0.192126664;-1.757827032;0.579686355;-0.143481262;0.418478334;0.643189739;0.044328162;0.914247304;0.489809284;0.619029898;0.32531061;0.370607384;0.216657458;-0.055586595;-0.277659262;0.805531009;0.509093929;0.557938894;0.510634879;0.002763047;0.778436656;0.855733052;-0.296918985;0.484089678;-0.130027082;0.231459245;-0.65092019;0.279251781;0.293895;0.304027621;0.44450346;-0.248923384;0.595267053;-0.358735894;-0.133906387;0.436904127;0.418932242;0.994567089;0.501425749;0.927850919;-0.121583014;-0.431444781;0.601849924;0.168328755;-0.117786989;-0.462635277;1.320258014;0.514690722;0.686664002;0.149582367;1.08695018;0.316687792;1.35902484;1.083263105;1.651900061;0.745222989;0.267946706;-0.036392554;0.65033863;-0.100808784;0.756718616;0.414080121;0.100513313;1.009784807;1.02225255;0.298174826;1.323529838;0.143241289;0.481307793;1.456550684;1.134104571;0.749578342;0.698776922;0.093424901;0.557244021;0.270442946;0.177014164;0.058662834;1.184724487;0.647366755;1.37518524;1.148715176;1.422829827;2.041394327;-0.018500692;0.955232442;0.894097065;0.537845323;0.551457303;0.210033414;0.446613868;1.303250346;0.781761838;0.162879307;1.095432535;0.849025626;1.039975547;-0.16299816;1.13563078;-0.123279136;0.519349551;0.334941272;1.3695297;1.859180394;1.171243528;1.636199254;1.02274992;1.510198093;0.831657234;1.203721987;0.812100449;1.253463134;1.14865834;0.564730008;1.651801937;0.884264015;0.709802347;2.188348751;1.78428153;2.33932302;2.437636115;1.698266937;0.683472715;1.099737019;0.9132637;0.221055189;0.98220798;1.09443968;0.398412318;1.954327495;1.26067646;1.554650107;1.244276301;1.394298892;1.268633702;0.786923925;0.488909644;2.068547878;1.717878327;2.366310741;1.995146946
0.333333;1.230047067;1.011195215;1.141949162;0.946338796;1.094844097;1.142310151;1.233637556;1.167258024;0.874089377;1.536068608;1.11605889;1.240775224;1.26670141;1.333552741;1.309883667;1.125267691;0.949868652;1.34830396;1.29385459;1.401656565;1.241472467;1.23194856;1.450520485;1.317411876;1.245180478;1.239096733;1.177758993;1.275342625;1.243703341;1.225167602;1.554217089;1.145610653;1.314347278;1.332410234;1.341994435;1.554360126;1.513069352;1.197201884;1.254769798;1.336975226;1.228434682;1.225644196;1.435309599;1.319202328;1.197148499;1.338079277;1.304051394;1.245764905;1.352450664;1.386173047;1.127297297;1.484251418;1.337590578;1.229712365;1.25146057;1.284480398;1.796503782;1.229285005;1.685544782;1.163304814;1.236273891;1.19703733;1.245920241;1.213200502;1.563739925;1.582103653;1.456059141;1.460331613;1.124586662;1.479015714;1.358968495;0.949492113;1.441974355;0.902148326;1.362866259;1.162739382;1.465602263;1.334341569;1.184636009;1.392657076;1.253010028;1.116618222;1.486544747;1.226545755;1.155358287;1.597217139;1.416530521;1.590723457;1.80673563;0.948746618;0.969938406;1.723516053;1.153935204;1.208516788;1.156360489;1.851772821;1.416486255;1.410164136;1.102065894;1.650981265;1.09359268;1.775093311;1.846883162;1.884223058;1.012405799;1.095061525;1.445172551;1.135264686;1.371992467;1.269217725;1.405012334;1.313545455;1.160982826;1.432716821;1.459862745;1.628196553;0.883960051;1.406706058;1.549808151;1.586645876;1.790388044;1.556281229;1.371818792;1.517823155;1.411344215;0.942759277;1.348346894;1.407521689;1.665282239;1.405930138;1.480360442;1.219713969;1.925435931;1.374665785;1.583481443;1.523178679;1.561835799;1.382140783;1.2781679;1.34880458;1.909733739;1.329088897;1.12348294;1.401277984;1.729973744;1.764455765;1.53521287;2.060565889;1.382900496;1.538302712;1.513420871;1.880264404;2.320041183;1.908514848;2.161014921;2.262944263;2.00660341;1.098629865;1.418055138;1.540609774;1.931394433;1.774242102;1.134281662;1.205225097;1.546139016;1.880965962;2.075223497;1.845493486;2.465288564;1.957784464;1.70647818;1.509502205;1.775664408;1.960921277;1.460731295;2.072883781;1.494920385;0.684816087;2.036858536;2.102980427;1.249263694;1.449557512;2.238151368;1.719178031;1.477681029;1.1989197;2.457912296;2.114949207;2.149215716;2.189513894
0.366667;-0.179249163;-0.418839519;0.013718667;-0.536361171;0.077079549;-0.361876825;-0.032790878;0.299566397;-0.256815447;0.394304311;0.300246686;-0.113577675;0.474703358;0.330519952;-0.208160203;-0.399289818;0.284371321;0.119720055;0.345195298;0.231084766;-0.079624893;-0.29708065;0.417511019;0.034085466;-0.060972729;-0.100229445;-0.491410005;0.132340792;0.089260713;0.202719516;0.382640265;-0.324523567;-0.026021299;0.27633302;0.28775608;0.163400195;0.553553637;0.075067801;0.308565045;-0.095115771;0.107970856;0.367205228;-0.051739585;0.005531537;-0.126101095;0.129430933;0.11556272;-0.188481536;0.142104656;-0.120724334;0.359417418;-0.159480192;0.66686845;-0.366530553;-0.428107457;0.154347443;0.201175507;0.549758049;0.199672936;-0.519378907;-0.159993579;0.13686715;-0.211510998;0.017857413;0.173283799;0.257735031;0.239017261;-0.215144101;-0.083368194;0.629891022;-0.582290333;-0.122458518;0.198537921;0.117281611;0.064254445;0.343550858;0.260884382;0.023516392;-0.154476873;0.101190558;0.244356991;-0.091457167;0.810997208;0.202023807;0.009578248;0.738645024;0.212431658;0.488223462;0.306659208;-0.092446361;-0.347623509;0.205040316;-0.314182363;-0.285419839;-0.336352567;0.592033506;0.169397419;-0.164753623;-0.172502112;0.363753082;0.320155482;0.536412966;0.855202351;1.086687558;0.015928745;-0.38253565;0.257185311;-0.313189033;0.463834251;-0.214115138;-0.003247964;-0.016449036;0.431688459;0.226363665;0.610293444;0.680608713;0.346251188;0.561004848;0.627516669;0.548794669;0.453122375;0.307104543;0.374586275;0.578550163;0.218875002;0.017941336;0.117217692;-0.104681658;0.212818747;0.397557571;0.134777156;-0.017388948;0.870310244;0.427461857;0.67886239;0.066614081;0.378055949;0.039775848;0.202451466;0.186657056;0.969426289;-0.166462156;0.108128845;0.134750059;0.719441742;0.719238802;0.60861001;0.721912215;0.015930098;0.365095434;0.601256918;0.039999623;1.103807242;0.87513187;1.043802328;1.472570114;1.153258207;0.564283924;0.605693527;0.252076343;0.875289347;0.397265361;0.135581554;0.384841064;1.110609006;1.320565972;0.516879078;0.87468144;1.020575001;0.936412068;0.753661914;0.318540399;0.526439421;0.924132511;0.496498354;1.261490459;0.014646261;0.579121806;1.548598844;0.84047046;0.712388329;0.702854425;1.376876528;0.935631742;0.987873688;0.627920623;1.302497544;1.563990883;1.021751628;1.418229531
0.4;-3.513924652;-3.368467903;-4.238519669;-4.232952951;-2.969454523;-3.956347451;-4.267208217;-2.728087432;-2.909833246;-2.495520029;-1.925243444;-3.246408229;-2.057427878;-2.121332075;-1.695882823;-2.270036559;-2.221781931;-1.614347115;-1.903358345;-2.409228396;-1.716133944;-4.165597835;-2.787420485;-2.638147177;-3.822656324;-3.310802754;-3.327450866;-3.6479807;-2.762332247;-2.552571944;-2.320779142;-2.793918993;-3.086128156;-2.369906387;-1.944551717;-1.817253448;-1.391516083;-2.820635452;-3.233633692;-1.905514492;-2.138787084;-1.638013174;-3.55590674;-3.381411814;-2.990118943;-4.041153909;-2.728456583;-2.83525573;-3.055005332;-2.285475823;-2.221509764;-3.741554034;-1.453692749;-2.118209967;-2.527071126;-2.651544636;-2.447035297;-1.05770073;-2.343881224;-3.673196036;-3.80121902;-2.267512845;-2.793366907;-1.877336494;-3.008781554;-2.983781576;-2.118099376;-1.965569756;-1.869650737;-1.642888758;-2.026465186;-1.481015704;-1.961561978;-1.2637892;-2.804688393;-2.662115938;-2.425986846;-2.574588643;-2.595994818;-1.559714357;-2.85105077;-2.301901155;-2.373389156;-2.644995746;-1.5362757;-1.777609252;-0.665318917;-1.709751811;-2.262744129;-2.346821021;-3.304189203;-3.849197241;-2.898578714;-2.432640704;-2.921545652;-2.778108511;-2.606541498;-2.267117452;-1.68500028;-1.393555112;-1.933621618;-1.098343619;-0.772355184;-1.294227585;-2.130922303;-2.665441128;-2.974317312;-2.657012896;-2.07821802;-2.39445882;-3.414126717;-2.683140495;-0.723448918;-2.554720903;-0.827820231;-1.709748725;-0.92673643;-1.589587796;-1.79337462;-1.832228333;-2.500052179;-1.922402068;-1.147573492;-1.742937173;-2.707471369;-2.207538836;-2.399430546;-1.400002122;-1.089305709;-0.28015183;-1.031712662;-1.001388205;-0.772645034;-1.576535032;-1.39712705;-2.08502322;-2.546309498;-1.419344728;-1.446716189;-2.21354501;-1.166984333;-0.925792467;-1.548339511;-1.561800421;-2.932672863;-1.325500556;-1.241904563;-1.441668176;-1.933503637;-1.045098643;-0.107623871;-0.953533503;-2.00220311;-0.761387066;-1.597515747;-0.344654235;-0.873227978;-0.903587261;-0.8507896;-1.369214635;-1.801519168;-1.706765637;-1.664363115;-1.783904097;-0.560823312;-0.667825718;-1.021159787;-0.766164879;-1.039234795;-0.892831356;-2.255031351;-1.18333682;-1.292794732;-1.659197939;-1.316558667;-1.364313113;-1.045588767;-0.935753047;-0.221742479;-0.875651143;0.81414292;-1.308311839;-0.165086391;-0.748493168;-1.730822913;-0.496290345;-1.633326884;0.308033319;0.346982632;0.531748106
