Freq/Samples;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75
0.1;3.165539325;3.242045536;2.367985284;3.874352825;4.030877145;4.093392909;4.581569527;4.613991583;4.445440954;2.989733635;2.494442657;3.312792587;4.167148882;4.084316628;3.641505859;4.019803557;4.05308226;5.545027212;2.634780833;2.734005446;3.161292524;4.178158381;4.903318535;1.946217852;4.953475502;3.619944222;3.540040911;2.889100144;3.803036275;4.525506533;4.771465782;4.856928545;4.131808899;3.809607123;3.426809117;4.574843848;4.010956798;4.497873964;4.181602499;4.249462425;4.204209927;4.977439391;3.794682936;4.701611805;5.595403256;4.44613634;4.778764181;3.607673092;5.346101109;3.914508807;3.478184931;3.944839012;3.419514579;4.808613473;4.472295728;2.785725364;4.138565557;3.879008599;5.005234604;4.569495135;4.943541645;3.68299187;4.406246182;4.274163111;4.993199451;4.987582115;3.811110659;3.770130284;5.209262639;5.059089171;4.105684954;4.022942047;4.771954396;5.605881727;3.988660872
0.133333;1.840912242;1.307218769;1.294401656;2.420506935;1.778770489;1.943217923;3.45091695;2.393557549;4.139048253;1.931051198;2.361887539;0.613298599;3.117766283;2.605152468;2.391522624;2.868199924;3.277481787;3.847881956;1.648894725;1.474938006;0.867548438;3.709262172;3.09216458;3.343026679;3.441743364;2.91905758;2.244190152;2.703106272;3.16935099;3.843555838;2.583363272;3.868156627;2.710119085;3.144069427;2.738189408;2.421343358;3.269844941;3.507030211;2.522613291;3.425279743;2.94294549;3.686529101;2.73150154;4.147932627;4.530378694;3.70425501;3.697923034;2.531115266;4.587783095;2.360011929;2.435950161;2.93648925;3.800161617;3.920797495;3.387833593;2.608140545;3.485098437;3.177414151;4.227292949;4.523230552;4.358435055;2.972642386;2.647958176;3.212716168;3.662605401;3.48674195;3.166953334;3.014649046;4.061315978;3.178865749;2.771789179;3.278470721;3.453860613;4.211767564;3.611202828
0.166667;0.977092927;0.740973242;-0.650352824;1.423927369;1.354732779;1.280997986;1.819887608;2.197207342;2.669810082;0.461164147;1.73697506;-0.378858783;0.528742103;1.660834008;0.625489562;2.334862559;2.665147312;1.76546186;0.573696787;0.85701218;1.270846307;2.316770556;2.0852869;2.200150111;2.508160322;0.989426431;1.453565753;1.375159063;2.33802969;2.755196181;1.695799706;1.28462502;1.637903562;2.497064497;2.496442531;2.339626011;2.725791593;2.678435899;1.619056311;1.727869123;1.497287915;2.198809842;1.838362417;3.003867697;3.135489843;1.899122438;2.492428945;1.862352865;3.381748445;2.286704652;2.481256776;2.566308789;3.319004299;3.047548529;3.240293212;1.628807877;1.71989183;1.419586469;2.989169416;3.8742257;4.176714255;2.050168222;1.546724423;3.005260936;3.274041737;2.406143339;2.027958746;2.04995282;3.425211217;3.165395565;2.490165944;2.951051714;3.05653577;3.195791293;2.447789148
0.2;0.056647995;-0.376721278;-1.443634101;0.402070623;0.783991672;0.043037276;0.241989264;0.998735062;0.957052541;-1.286438398;-0.000599423;-0.240296684;1.176806528;1.274309892;0.869030362;0.716986441;1.902969781;0.142563432;0.309658716;0.908001098;0.757960705;0.842874663;1.275867512;0.317304698;1.399773931;0.05186401;0.517859637;0.173078974;2.04713079;1.194061296;0.573608038;1.832968597;0.850537697;0.646042555;1.170660205;1.607533179;0.900989825;1.808514578;1.313581707;0.824703702;1.26965734;1.571019655;1.987112559;1.762862817;2.661960044;1.074193765;1.842394452;1.655037791;2.635342258;1.794964153;1.822589231;2.122594627;2.152385924;2.185062783;2.730288733;2.165284234;1.359722632;0.804971743;2.410953865;2.916763637;3.155594162;1.396179809;1.285741075;2.13795581;2.443134767;2.276009994;2.531341774;1.741594637;2.826687701;1.797567504;2.232038305;2.172275023;2.188118084;1.668267788;2.505999249
0.233333;-0.724223661;-1.564097981;-1.530460888;-0.792229965;0.440975347;-0.846582752;-0.262707422;0.479698258;0.350655385;-0.169907522;-0.977182177;-0.536244095;0.281985054;0.493712487;0.257228408;-1.22514967;0.731304778;-0.987972401;-0.229267798;-0.408312817;-0.733434043;-0.338686287;0.573846907;-0.348946417;0.21576835;-1.220050766;0.055156306;-0.078538647;1.52613085;-0.08913658;0.507085653;0.280135906;-0.307938652;0.089577707;0.30207769;0.728424699;1.678710234;0.866666879;-0.285167663;-0.024527736;0.044697709;1.467667524;1.471752137;1.192766388;1.076733809;-0.056536244;0.447501838;0.552133394;2.366313674;0.98394767;0.742512127;1.140477369;1.601021867;1.512311565;1.391802857;1.518827677;-0.00113355;0.182197712;0.916015692;1.975297477;2.254538444;0.427097363;0.858266123;0.526655019;1.51550019;1.346238913;1.95090256;0.720760873;2.489522677;1.997367875;1.56079817;2.042897587;0.901015088;1.575850156;2.604740214
0.266667;-2.240493279;-2.006179051;-1.497010719;-1.574903352;0.329347018;-0.605997261;-0.637128077;0.389702584;-0.71353474;-0.585482697;-1.77176595;-1.237500283;-0.386229829;-0.296101791;-0.92298488;-1.367378711;-0.67160527;-0.572370678;-0.804450271;-1.402561534;-1.322740474;0.737074496;-0.745153539;-0.006634963;0.643683833;-1.612465789;-0.801136742;-1.086787742;0.841526854;-0.669373545;-0.321941267;-0.135150249;-0.497625506;-0.060777662;-0.268481348;0.462355341;1.022116684;0.820231749;-0.767833566;-0.241480397;-0.342765929;0.827862202;-0.237961387;0.621212782;0.119914167;-0.048980761;0.091153006;-0.893258627;2.184582582;0.699096967;0.227276222;0.248054226;1.638227838;1.364604131;1.136753745;0.292740841;-0.636343722;-0.665907961;1.355638297;1.564938769;1.809808686;-0.530996084;0.315932466;-0.006712203;1.228755906;0.103710123;1.122716881;1.615736264;2.079770945;0.7304943;1.424227715;1.670565546;0.417179387;1.877981943;1.677193199
0.3;-0.508496575;-0.122294537;0.072556241;-0.536053706;0.773796903;-0.357222918;-0.205842626;-1.005295087;-0.081121766;0.064186464;-0.102418599;0.33687991;0.360325808;-0.195874228;-0.884050069;-0.095607641;0.630545863;0.726499328;0.097086714;0.039456363;0.170370767;0.260446532;-0.228336706;0.317436132;0.498907039;-0.26772159;0.736901249;0.090430349;-0.249020885;-0.143199872;0.262022925;0.789672216;-0.217649775;-0.605776245;0.819051109;0.586375018;1.054847061;0.653000177;-0.419965512;0.771579035;0.530006231;0.28676086;0.347207023;0.763096101;0.683994491;0.620778155;0.998567857;0.713527539;1.181856693;-0.315354065;0.601725321;-0.138279732;1.345194165;1.536578244;1.185235649;0.333602181;0.972954322;-0.188579319;-0.058802782;1.360915901;2.097266944;0.721259137;0.671595106;-0.692860183;1.367367813;1.128653593;0.881522287;0.910865658;2.001652625;1.430479173;1.450594498;1.92874581;0.817341395;1.166808636;1.350116894
0.333333;1.162057946;1.080942566;1.360559266;1.144433488;1.578476721;1.0949655;0.864238049;1.022177923;0.973308589;1.355347306;1.359830418;1.404545148;1.152146054;1.174458598;1.211336109;1.268683267;1.713589933;1.321675968;1.343398211;1.270285043;1.288283034;1.229076143;1.326834909;1.574402501;1.322983817;1.450173093;1.56341984;1.275307911;1.304237255;1.330062538;1.338040911;1.471454356;1.311013515;1.276112984;1.501366745;1.60072582;1.571066029;0.98950886;1.344492564;1.46601899;1.553498409;1.092941306;1.420218996;1.156311891;1.578771376;1.616259224;1.605345461;1.523144285;1.41653188;1.401466719;1.453244929;1.226873981;1.31554816;1.867461905;1.964749382;1.350726799;1.922465971;0.993626261;1.183706;2.021804556;1.947482522;1.788556931;1.449227325;1.18385086;1.517332475;1.837102489;1.434212065;1.555494646;2.411478092;1.8617868;2.038927685;2.076156958;1.231910366;1.164681637;1.601291868
0.366667;-0.155208777;-0.253341791;0.037370322;-0.203394762;0.201746067;0.01702825;0.174462381;-0.090001038;-0.126695016;0.142517708;-0.055299386;0.074915741;-0.277777692;-0.164913095;0.341851883;0.05270006;0.726632924;0.010194945;-0.080641544;0.219608112;-0.122453042;0.035061888;-0.282984857;0.519236635;-0.009888347;0.227257199;0.266111083;-0.108724852;0.354980631;0.296488112;0.402169448;0.395734627;0.216754745;-0.246337181;-0.093016387;-0.016835423;0.019446906;0.3294263;0.293727445;-0.016467417;-0.070860994;-0.121052339;0.296380118;-0.565931576;0.909189006;0.367048338;0.234696227;0.292276875;0.417070626;0.111898023;0.222997749;0.067940636;-0.420144;0.382720445;0.937879451;0.203652086;0.699507797;0.050131443;0.831193295;1.158552191;0.388849239;0.35453109;0.341871709;0.507885109;0.909882667;0.922170014;0.155096644;-0.015063953;1.434465456;0.434655561;0.613900754;0.695821747;0.41585643;-0.363215881;0.883104484
0.4;-3.819374708;-3.510397054;-3.673313153;-3.1388638;-3.240897993;-2.904149232;-1.378748951;-2.194321994;-2.05542941;-3.980828808;-3.174314721;-3.790569411;-3.408799765;-3.239280154;-2.171344035;-1.948657363;-1.736054064;-1.690291762;-3.243274905;-2.222338675;-3.580131394;-3.079723074;-2.398086585;-1.843560412;-2.034870124;-4.299150952;-3.025316198;-2.443399555;-1.685071993;-2.364168727;-2.074343975;-1.030326013;-3.077063999;-1.993824549;-3.680775225;-2.024164578;-2.168222957;-1.044049363;-2.207314038;-2.401157194;-4.214319838;-1.298647244;-2.54017992;-1.893838992;-0.862050359;-1.802634006;-3.054117519;-2.479682702;-1.166746196;-2.578713157;-3.236420503;-2.622933074;-1.113062692;-0.971972507;-0.750617983;-2.033315609;-2.923536545;-1.647222243;-0.349958189;-1.416207665;-1.498122014;-1.123955621;-1.631498603;-1.818463973;-0.655402903;-1.787169178;-1.595347354;-1.127548628;-1.084211398;-2.038596073;-1.07443101;-1.369476855;-0.835036155;-0.359769889;-1.632349655
0.433333;-3.918648754;-3.706768198;-4.276731233;-3.756277664;-3.672476327;-2.833685475;-2.17223848;-2.600958859;-2.909025266;-3.520839276;-4.019303611;-3.82835324;-3.721116577;-2.64344591;-2.65023485;-2.470572345;-3.046537673;-2.615481465;-3.174346713;-3.296501803;-3.415990611;-3.278873363;-2.788535541;-2.831088902;-2.505933672;-3.263066736;-3.089984904;-2.938558946;-2.222438774;-3.547749722;-2.607544485;-1.197417892;-4.513446317;-2.817298631;-3.390908629;-2.018901146;-2.40048801;-1.740498469;-3.111294496;-3.198656421;-3.262364255;-2.57446582;-1.734698444;-1.636590944;-1.391619791;-2.239020563;-2.961210961;-3.09836948;-1.992274838;-2.162323431;-2.924192461;-2.838658374;-1.15318512;-1.279687408;-1.305625903;-1.447050582;-2.071227083;-1.985562622;-0.326246485;-0.675302169;-0.598560187;-1.140141116;-1.848244882;-1.627136627;-0.660181264;-1.675290224;-1.497472282;-2.452870017;-0.944710316;-1.039095681;-2.305418418;-1.762825832;-1.013357653;-0.249754578;-1.362982912
0.466667;-4.656265333;-4.639388972;-3.809631066;-4.195826074;-3.208238645;-3.232476656;-2.40956798;-2.381251416;-2.629982379;-3.373069209;-3.774440682;-4.37212748;-2.67598257;-2.901901588;-3.127658352;-2.392826134;-3.415114964;-2.405382644;-3.122323814;-3.284015738;-4.087873697;-3.312315561;-2.442121185;-3.068125564;-3.191984521;-2.750678906;-2.698199849;-3.29195581;-2.53569952;-3.492910657;-2.543207775;-1.744147243;-3.67945496;-2.915031007;-2.967552392;-1.235413782;-2.492575418;-0.985200101;-2.931161225;-3.185798624;-2.68670239;-1.891576042;-1.494194469;-2.0727165;-1.829730482;-3.102971953;-2.033675227;-2.508168685;-3.036568054;-2.394387062;-2.046445531;-2.502320207;-1.738341793;-1.205379004;-0.739443114;-1.779186791;-2.16271059;-3.453987997;-2.194352841;-1.719728079;-0.526352912;-2.07009416;-1.596585098;-2.072928211;-0.818966708;-1.481026408;-1.54035676;-1.313527872;-0.421854155;-0.988325557;-1.543878236;-1.294594877;-1.500699299;-0.20245988;-0.779174349
