Freq/Samples;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203
0.1;3.088329182;2.647815329;0.709593497;3.588804052;2.901756489;3.275056295;2.348095278;4.19738084;4.115000171;3.843989468;4.053751394;3.435707497;3.225852723;4.476033377;3.928458752;3.293916075;3.010776835;4.778312802;4.277962689;4.246776663;2.465140774;2.559782858;3.154554235;2.938934194;3.509385238;2.991718355;2.67110337;3.876881698;4.104043155;3.332028492;4.134657389;3.228475276;4.075532838;3.433883411;4.090970212;3.773533436;3.679419351;4.576595278;4.383434021;4.630392241;4.232625498;3.714748197;2.67043643;3.158692965;3.096342191;3.042213325;2.747068328;2.548846757;3.242320731;4.114320861;4.37880029;3.621390645;3.759903359;4.61610484;3.590419185;4.116311946;4.170149269;4.452284061;4.869367097;4.642627233;4.53255516;3.718790567;3.752053941;2.992636731;3.158314296;3.387916189;2.753995006;3.096017338;4.429565566;4.122477114;4.677783926;4.281380371;4.661335938;3.28864181;4.352595726;4.296479605;4.709852328;4.75462629;3.309095617;3.829415128;3.20483999;3.175737124;3.771421526;4.134152783;3.502519834;4.144475346;3.429704604;4.205814485;4.431807602;4.871760518;4.894713133;3.911689099;5.01025524;4.754504981;5.507073583;4.411165757;3.341029046;3.832621703;4.035285948;4.011927447;3.152757804;3.702518245;4.635768975;4.279519994;4.903635462;4.268636101;4.572575889;4.978575956;5.039734997;4.074777524;5.207835602;3.403219937;3.097905549;4.343276109;4.528343585;4.201139928;3.189830313;4.571195642;5.205339505;3.654183909;5.130879589;5.284032906;5.571718865;4.801819684;6.10902819;3.019567648;2.093698282;4.632236126;2.70265066;3.745155434;3.798110039;4.345180161;5.264631285;5.408738963;5.084049681;4.060301454;4.356686956;4.280729755;5.785202447;4.604688152;3.496590245;4.401398856;3.963798332;4.615869604;4.588412335;4.53358589;3.844060003;3.630097044;4.783127424;5.00481311;4.252693595;3.993431733;3.353772412;4.230053429;4.723277143;3.838634878;3.190131913;3.353141855;3.865580913;3.849258335;3.34221172;3.67260752;3.32707398;4.627199546;4.909869559;2.879207343;5.101048726;5.170076435;4.614687331;4.739944434;4.939203657;3.823131485;3.462297714;3.527077338;3.037187051;4.238577312;3.78784854;3.917992594;3.540796149;5.30556143;5.02781067;5.415581153;4.5489148;5.84244858;4.085414689;3.386927189;4.597907119;5.406141737;4.500690151;3.663524823;4.710549516;4.77924792;5.118064907;6.188001034;4.180907799;4.120669504;4.534132152;4.394618009;3.947447238;4.743059176;4.956989291;4.760731791;4.647412494
0.133333;1.679253769;1.697811641;0.841268212;1.435880953;0.242565295;1.3242607;2.318559364;2.823398417;2.527216706;1.927201863;1.868317132;2.298489305;1.882794511;2.354067012;2.447540966;3.001474574;2.553704785;3.490294604;2.84351898;3.751318203;1.186473892;0.929084049;1.667989858;1.744004751;1.605360089;1.265506362;1.570610712;2.458132098;2.985260267;2.77863564;2.912628449;2.0014978;2.4103695;2.01811276;3.063443326;2.932296269;2.390775815;3.431227456;3.72272875;2.963733222;3.208960339;1.789302409;1.412112916;2.449676995;1.687979726;2.030916907;1.414532606;2.382748567;1.733075587;3.460271343;3.450197697;2.745715457;2.189717304;3.452849752;3.127183861;3.231504856;2.428873859;3.399312557;1.914439736;3.167315468;4.022664867;2.915625312;2.213931897;1.572747504;2.406335911;3.050400818;2.258868136;1.748307035;2.249258931;1.779726088;3.34203593;2.340543421;3.197148788;2.85999967;2.981169782;3.652563638;2.7596786;3.442473893;2.061315418;2.40395765;2.31208093;2.756512928;2.697234233;1.548695722;2.764841566;2.628740982;2.794561213;2.642827027;2.507516068;4.471810685;3.300939501;1.632464234;4.147249414;3.281185952;3.946939794;2.429381371;2.70744591;2.897756363;2.683297772;1.878092187;3.316096033;2.547008595;3.573767449;3.055871654;3.855253152;2.950230525;3.017642833;4.343066074;4.655554713;2.837252466;3.000515739;2.710291808;2.72023631;2.848365179;3.278933707;2.814132816;1.702964938;3.260820139;3.824150398;3.325682932;3.54024622;3.856685659;4.857752031;4.17805284;4.628812225;3.110963899;2.860992969;3.37015981;2.834977795;3.12692616;2.702919929;2.410048521;3.557129345;3.978472257;4.217848523;3.4391313;3.467323523;3.593020133;4.936914175;4.08283349;3.227449;3.625133609;2.626447716;2.580713296;3.750564172;3.141456286;3.229861428;2.928623162;3.89419301;3.980418126;4.153708181;3.507400446;3.012033801;3.513750989;4.387485577;4.796410722;3.055370608;2.867155332;3.652149737;2.947712741;3.113381262;3.241756923;2.969599736;3.710780167;3.610956274;2.829158482;3.720306141;4.425260062;4.376518709;3.817250165;4.078712154;3.566509705;3.154007561;1.569140057;2.296436326;3.269564337;2.949963644;3.151959313;4.085970328;4.673643725;4.267337675;4.045751866;4.029376397;4.484769181;2.564360494;3.484702786;3.209059209;4.036891512;1.701346988;2.769464466;4.117680516;4.052437974;3.752801558;5.281383223;3.805957399;3.150296014;4.186024616;2.387272027;3.16551171;3.856723273;4.538157487;2.905944047;4.252401033
0.166667;-0.093284247;-0.048368393;-0.362617352;1.047803919;0.326677297;-0.100856854;1.382824154;1.509718763;1.308820689;0.539766856;1.834439473;1.110360077;1.034238884;1.597931487;1.125741611;1.582173413;1.867056476;2.207501305;1.656189148;2.721333492;0.961083864;0.58461918;0.313435502;0.019806698;0.449640745;1.10155159;0.986746633;1.527551485;1.740513504;1.466721441;1.373539628;0.550844674;2.082564442;2.17306832;2.096522236;2.505078735;1.988495539;2.595292632;2.881244673;2.011518458;1.711780074;1.494238542;0.762874674;1.122533595;0.930046897;0.535324404;1.213933442;1.384280487;1.473427684;0.641861516;1.785932247;2.485099127;1.796696099;2.208074987;1.857858052;2.686867564;2.283684571;2.956385034;1.800798391;2.41598598;2.649207605;1.41704697;1.16310388;1.191074739;1.891715047;1.086645225;1.5544217;-0.142570053;1.012419709;2.056179695;2.258712343;0.863824304;1.364174219;2.635266694;2.982594437;2.920319025;1.552468965;2.491074949;0.0088905;0.635016222;1.217704596;1.074065781;1.444275902;0.35397525;1.974033379;2.039782624;2.963294303;2.53215376;2.822314605;3.183460598;1.49729376;1.759547862;3.652517534;2.893166431;2.328793405;1.632137152;1.73976265;1.883290592;2.229813937;0.344676505;3.043809329;1.969196449;2.242579396;2.351497657;2.70838757;2.963951257;2.503345465;3.155873313;3.229043551;2.00847209;2.934098583;2.32980137;2.351089208;2.086287002;2.036810361;1.711480576;1.564950007;2.068803524;1.896529509;1.775907826;2.392421706;1.880450353;3.989792409;3.329488441;3.076612486;1.794783206;1.992272829;1.99204832;2.308184041;3.013769427;2.076408213;1.58481556;2.408804321;2.227871187;2.862588788;3.167144885;2.836698124;2.591055499;3.554045842;3.202591969;0.664001778;2.758050077;1.024703611;2.438616309;2.500490118;1.827099752;1.902878058;1.961649552;3.055605733;2.273803562;3.177051932;2.833418092;3.008382444;3.164642019;3.535106145;3.831825117;1.939333519;2.4959088;1.945291443;1.778868155;2.20855409;2.498490533;2.598498684;3.581486623;3.152318322;3.425562943;3.414827149;3.34673115;3.595181423;2.101074269;3.711694155;2.262773611;3.058157075;1.969783342;2.740820139;2.527309783;1.408902029;2.680521906;3.570548716;3.434150542;3.796602601;2.803132711;1.464502831;3.019540464;2.710730442;2.427046675;3.057308933;2.655938476;2.03462836;1.601496784;2.782770022;3.152563353;3.744007835;3.613937026;1.645332586;3.047995237;3.344121178;2.544569036;2.901041453;2.113172919;4.484247197;3.650436916;3.786332218
0.2;-1.210351699;-0.228318511;-0.26460755;-0.569574213;-1.038484887;-0.69317558;-0.752489512;0.371036503;-0.085035011;-0.446303388;1.113327529;-0.115381871;1.370423567;0.436853907;1.058643081;-0.102726411;0.878595738;1.530376155;0.398037374;-0.262583713;-0.515339342;-0.583265668;-0.610179813;-1.467976597;-0.649689611;-1.125002205;-0.358114441;1.091615428;0.927668176;-0.383517684;1.003763136;0.405655343;0.364259151;0.683041416;1.310833244;0.238616472;-0.511285084;1.441563453;0.682525812;0.707258372;1.234743004;-0.400156702;0.461064463;-0.298152902;-0.25171128;-0.045560699;-0.141773521;0.424672777;0.849129659;0.434839845;0.886539629;1.136320833;0.357261466;1.583033163;0.772862884;1.872066248;1.645789472;1.725628035;1.098701961;1.086408879;2.146034374;0.699741552;-0.709515916;1.267861578;0.940520626;-0.273771372;0.874042626;0.625299968;0.631489146;1.714629004;1.460373402;1.336091252;1.489944032;2.172085448;1.855519765;1.880749116;0.771143641;2.037263488;1.244091821;0.577349588;-0.060389292;-0.426828856;0.983808994;0.186247778;0.714243391;1.434596265;2.545804282;1.264382692;1.664305024;1.616128817;1.616079717;1.052360227;2.256272762;2.704686491;1.160148349;0.610761577;0.144957423;0.920490247;0.812810194;-0.419630368;1.488607779;0.957229949;1.712929555;1.393435504;1.987774675;2.075525203;1.434080026;2.126610552;1.459637948;1.183747095;1.883033241;1.860932573;1.777255936;0.749719575;1.526468872;1.082036295;1.696507845;1.343200598;0.631910735;1.88252877;2.131137693;2.283807871;3.007567802;2.33705108;2.343282359;1.676043748;1.220297164;1.562599768;0.766027896;1.784911852;1.894187841;0.780111623;1.94911963;2.558073092;1.444723427;2.4862142;1.402419437;1.834833174;2.189840537;2.87254814;1.346890536;1.083439284;0.696740757;1.521711363;2.315664527;2.425838882;1.110825311;1.493896734;1.729725266;2.521628121;2.218627138;2.415869494;2.540485438;2.503033002;3.246607914;3.008115042;0.726942968;0.439654672;1.818487749;1.579734242;1.913067543;1.207621086;2.268967793;2.523409788;2.589449471;2.619295541;3.210301905;2.135386681;2.445582945;2.613531461;2.538695093;1.689532603;2.142831547;1.444465356;1.743836872;2.273641279;0.928285182;2.21217045;2.825828333;2.155649584;3.06493436;2.153576127;1.172817308;2.845464152;1.82284187;1.424631264;2.220900195;1.953178786;1.582876672;1.731360939;1.708057685;1.530437256;2.754230387;2.479449481;2.437996556;1.279794361;2.709229769;2.748084301;2.25061732;3.209846046;2.906600214;2.900677509;3.76845255
0.233333;-1.270103237;-1.162569137;-1.999946395;-2.020429817;-0.996484748;-0.820565356;-1.501108924;0.264264974;-0.981032261;-0.4353705;-0.144244004;-0.982579682;0.146149825;-0.487505968;0.540209014;0.248610578;0.329312692;1.01337245;0.428525566;-0.071793027;-0.956459091;-0.420875241;-1.797303926;-2.157604658;-0.627184811;-1.038711128;-0.939957179;0.348784121;-0.534464088;-0.670772599;-0.195234348;-0.255093299;-0.403435976;-0.319171157;1.225883408;0.01134732;0.69366575;0.006413437;-0.013439758;-0.106425033;1.033605445;-1.628477637;-0.305355627;-0.158362767;-1.352254312;-1.044527525;-0.359023367;-0.466885744;0.173087221;0.634587537;0.709461506;-0.707476332;0.0823947;0.802124801;0.836609813;0.506773086;0.99241606;-0.164135721;-0.25838344;1.723499137;1.331379298;0.168131358;-0.430636348;-0.139466647;-0.454996702;-0.662584427;-0.291214789;-0.114563942;0.676927161;1.207336871;0.682522473;-0.484697692;0.806293356;1.317641921;-0.223507192;-0.324605856;0.340877982;0.248179578;0.569437066;0.010831978;-1.143304782;-0.155223512;-0.379203177;-0.419907439;-0.553945036;0.042694353;1.104167608;0.497692078;0.705740588;0.786541426;0.921360481;-0.941700341;1.689393374;1.928700162;-0.203810534;-0.022026301;0.332695202;-0.098090042;0.792721735;-0.534862254;-0.88391078;0.141007948;-0.073481246;0.624696221;1.139394125;0.688434884;0.881014719;0.786853135;0.793426104;1.075188613;1.481479366;0.631338718;0.912564634;0.402472704;0.069105489;0.660468882;0.997460586;0.507880468;1.172812362;0.487047179;2.187444379;1.717506886;2.114450678;1.430686764;1.986666616;1.260086672;1.13348368;1.737515399;-0.477959273;0.87389052;0.325146988;1.635079036;1.499643744;1.860477275;1.83909121;1.986564237;1.320764169;1.984738004;1.993324108;2.203088796;1.593349311;0.163097181;1.22324946;0.552039563;1.963254501;1.62199095;0.491513753;1.760076312;2.158500633;1.936436587;1.882788433;1.880318297;2.248805122;2.455438593;1.792305304;2.778960059;1.314915925;-0.003664153;0.510793386;1.169721269;1.24254531;0.686051161;1.990767081;1.667825595;1.739271656;1.662559091;2.133883625;1.298347216;1.780143704;2.251199568;2.386501798;1.754001001;0.838935625;1.181499521;0.964100426;0.872853184;0.65878351;0.253512363;1.637907721;1.836313069;2.735496765;2.101888022;1.232746625;2.324735064;1.439471796;1.067756405;0.893427153;1.71021832;0.737192308;1.717435651;1.549172993;1.416885424;1.416543918;2.043653058;2.301314467;1.817105646;1.66760595;2.202462577;1.967800255;3.048583411;3.007662259;2.684990443;3.490397388
0.266667;-1.392733839;-1.601467508;-2.397021758;-1.881880574;-1.795049406;-2.404529304;-1.958202707;-0.765265089;-1.480014118;-1.291980417;-1.932941038;-1.872364118;-0.154844649;-0.950293942;-1.115132687;-0.380424261;-0.525761678;-0.134836699;-0.630000502;-0.714581248;-1.77305883;-1.58228639;-2.506752222;-2.724300474;-1.114619197;-1.736864486;-1.35536803;-0.922494657;-0.900825244;-1.013596058;-0.617251132;-0.576713446;-0.953148226;-1.212626139;0.508457744;-0.763547905;0.265672369;-0.28818252;-0.99169364;-0.160795332;0.370066935;-1.689393743;-1.565565662;-1.171023899;-1.858978019;-1.498691099;-0.776171685;-1.86754728;0.143592845;-0.011809409;-0.89228737;-1.147731715;0.504981176;0.339939059;0.213149518;-0.453350896;-0.21813907;-0.212035529;-0.474483331;1.035878992;0.041002096;-0.480445706;-1.696724623;-0.509465706;-1.745361886;-1.549537257;-0.712440061;-0.980834789;0.39140986;-0.598792922;-0.072784715;-0.927919939;-0.382237066;0.400550387;0.274613655;0.014056325;-0.245792797;-1.469294345;-0.511428755;-1.341939837;-0.510597073;-0.119171567;-1.376324241;-1.12825291;-0.769447919;-0.16578994;-1.565616314;-0.343756789;0.158006967;0.679852138;-0.603714334;0.702014445;0.863036681;0.57141472;0.030608181;-0.726407583;-0.691551038;-0.14363771;0.059374201;0.489259315;-0.815706596;-0.277237134;-0.304375198;0.210093961;1.413626997;0.662755;0.401033746;0.968272806;0.505054862;1.677670125;-0.242445821;0.137039265;-0.77427181;-0.216025886;-0.690696586;0.136282599;-0.486183611;-0.617211317;1.467647305;-0.421894117;1.750088948;0.723266492;1.494994957;0.558974193;1.619127759;0.756134216;1.01025514;0.752152791;-0.618683582;0.732670049;-0.731368977;0.350628634;1.030581013;2.032542567;0.75999628;1.616742547;0.910650463;1.444744466;0.936646115;1.192772544;0.048741873;0.56297557;0.674093632;0.416787381;0.988675361;-0.234185821;-0.019116217;1.819364469;1.375384969;1.811763754;1.032591781;0.876893365;1.358110209;1.246942952;1.522446825;0.829776607;1.414046112;0.133987811;0.307951205;0.057701976;0.444573835;0.507237199;0.892018276;1.396547465;1.316771557;1.687697229;1.51055205;1.277845343;0.73535676;1.043395112;1.493408469;1.092096323;-0.596893937;0.796569433;1.070219276;0.481258851;0.90891407;0.242187166;1.45635627;1.683302528;2.270549834;1.764184691;0.918264819;2.065694678;1.142119202;0.206843177;0.961523946;-0.349285827;0.802062062;1.158170783;0.211172673;0.933138754;2.29269983;2.437790145;1.620459788;1.968732406;0.99561129;1.305402356;1.244175746;1.804249398;2.448135962;2.521436828;1.730904281
0.3;-2.418324464;-2.128504198;-2.15011279;-2.792885559;-2.582514578;-2.132116853;-3.165175229;-1.820555925;-1.519677754;-1.278490867;-1.390679646;-1.516338454;-1.210485818;-1.797007936;-0.913010851;-1.243985853;-1.139977262;-1.503695953;-1.069027402;-0.703073584;-2.644357735;-1.88732618;-2.37713219;-2.811110063;-2.171643177;-2.082019997;-2.660305325;-1.554714983;-2.36374097;-1.68814741;-1.108345199;-1.578087451;-1.166318922;-1.511561605;-0.137683796;-0.568602922;-0.93080358;-0.789966802;-1.904162954;0.025494819;-0.121250806;-1.470341909;-1.674503955;-2.277533768;-2.233709506;-2.867193276;-2.336614831;-2.382704612;-0.841645324;-0.776612543;-1.137155445;-1.427315499;-0.724193478;-0.170375072;-0.688162875;-1.527488231;-1.219079639;0.011887144;-0.020109274;0.268962174;-0.043868859;-1.034500844;-0.965304676;-1.39040891;-1.395290395;-1.394059724;-1.211027501;-1.655452799;-0.980399682;-0.800387788;-0.274828458;-0.61330224;-0.359760648;-0.358633002;0.417369295;-0.041177216;-0.429991699;-0.903178409;-1.370912153;-1.538313303;-0.755487141;-1.078211653;-0.91312668;-0.571318631;-1.030342905;-0.118970866;-0.315301425;-0.513657957;-0.228752798;0.201801071;-0.330136927;0.394622055;0.331938647;0.700528266;0.358142369;-2.57968493;-1.017151746;-0.145531852;-0.565203017;-0.722306979;-1.274595328;-0.26862847;-0.408078904;0.124962871;0.412224046;0.616726011;0.706678595;0.505617894;-0.048517289;1.274695572;0.551316349;-0.179987069;-1.897051864;-1.280857034;-1.05139175;-1.447694379;-0.851819893;-0.727724391;0.536622928;0.091279227;1.005858165;0.282099752;0.995457818;0.855916413;1.212273909;0.306589619;0.501537973;-0.593945838;-0.894913027;-0.126566322;-0.908299688;-0.341281304;0.593122914;1.248704887;0.317606204;0.662436896;-0.161294808;0.669616276;1.224356356;1.146677936;0.114016176;-0.039083235;0.016749329;-0.199323124;-0.687115992;0.180846561;-0.989781255;0.07419005;0.808504147;1.3157312;1.139746403;0.44680599;0.80343801;-0.11927441;1.005308882;1.47754289;0.519743461;-0.223136857;-0.009159506;0.390349448;0.387479008;-0.646511217;0.39011167;0.544563589;0.391019027;1.415843845;0.465748688;0.808161314;1.109780511;1.382819282;1.213193949;0.67824391;0.120804089;0.51106274;0.320876728;-0.530310609;0.227168425;-0.010989351;-0.390367051;0.683613856;1.499736418;1.127805992;0.256774847;1.893482013;0.817281509;-0.257158248;0.95600651;0.462586045;0.610925953;0.161229311;0.204080244;1.421229177;2.202392521;1.939000726;0.733529628;1.144226388;0.593710403;0.767399085;0.79688161;1.17224003;1.536025639;1.673891186;0.563757567
0.333333;-2.637499161;-2.732099727;-3.243631249;-3.015643097;-2.607985715;-2.415919004;-3.274178158;-2.185187286;-1.522325947;-2.283099454;-2.172777719;-1.542383662;-1.988332193;-2.288836401;-1.533765468;-3.631863128;-2.674545182;-1.269440114;-1.649767213;-1.45733696;-2.92879331;-2.816737456;-2.279917772;-2.711837141;-3.145620616;-3.504651016;-3.426317723;-2.125795514;-1.930947017;-2.03686102;-1.246385662;-1.195438061;-2.213635175;-1.159158702;-0.632247738;-1.06781539;-1.731993108;-2.407368973;-0.652014545;-0.00991299;-0.883180751;-2.210499029;-2.760489022;-2.034721553;-2.233851371;-2.519425245;-2.163544343;-2.532372955;-2.647350252;-0.9518969;-1.649012087;-1.143681676;-1.728194916;-1.874117194;-1.081398868;-1.916245526;-1.026355364;-0.700737696;-1.279277389;-0.566464356;-0.710394925;-1.960610223;-1.97673473;-2.513475863;-1.95932946;-1.863802725;-2.200013506;-1.934757183;-0.819679836;-1.260733643;-0.929226502;-1.160546538;-0.978465705;-0.869089902;-0.073188123;-0.818174672;-0.888276476;-1.059310253;-2.797208741;-1.817148158;-1.653046923;-2.08124375;-2.181127805;-1.145111906;-1.623354746;-0.739885122;-0.351526175;-1.161563003;-1.345643683;-0.660617048;-1.029032106;-1.170651969;-0.552751322;-0.378132795;-0.16738555;-2.073502969;-1.22954986;-1.050499267;-1.515528706;-1.353626286;-1.352436358;-1.116155599;-0.582364039;-0.654637926;-0.243590196;-0.029378312;-0.031197048;-0.548917105;-0.796739287;0.61774776;0.034050478;-0.54947412;-1.51342517;-0.428005921;-0.921483138;-1.649806318;-1.055645512;-1.521435417;-0.79739093;-0.391132896;0.133327411;0.074745324;0.199430926;0.288197247;-0.038247749;-0.679028811;-0.206701537;-1.094656625;-0.995436352;-1.009262521;-0.84775955;-0.060319288;-0.484461471;-0.670741586;-1.409979034;0.130126799;-1.311168141;0.558639728;0.653397183;0.321515664;-0.261281704;0.140722161;-0.986305697;-0.219863714;-2.150939872;-0.097048035;-2.123938034;-0.381717264;0.645812371;0.565397688;0.280677104;-0.3072784;0.451715708;-0.36643004;0.197826996;1.063356635;0.216718519;-0.230925353;-1.841478121;-0.494761533;-0.937990148;-0.553916513;0.128488519;0.443222912;0.084406051;0.186069591;-1.24905997;0.834703368;0.215224145;1.609044517;1.799041473;0.44050618;-0.278212006;0.209918104;-0.533277648;-0.047022261;0.276258102;-0.162875431;-0.195028181;0.123638791;0.652564546;1.197547366;1.092226951;0.826061997;0.435570532;0.275912732;0.798457596;0.128279381;-0.090003876;-0.243154442;-0.189770657;1.044303203;1.024450917;1.210533193;0.075399985;0.31743218;-0.559703165;-0.394091142;-0.568019238;1.078323665;0.975131249;1.479883066;-0.941187603
0.366667;-4.426788096;-3.374172147;-3.489222727;-3.647259735;-3.150775694;-3.687340922;-3.331357304;-2.625065571;-2.220613579;-2.385330122;-2.695407668;-3.449006701;-2.906052098;-3.015785142;-1.397697028;-4.02984201;-2.495382967;-2.181634852;-2.335299639;-2.891182805;-3.282376051;-3.170986978;-3.202977883;-3.361519364;-3.421202361;-4.230717806;-4.395529831;-2.824532135;-1.924837472;-2.7111592;-2.125842241;-2.53378563;-3.185846542;-2.785174573;-1.455048305;-2.247322678;-1.756691957;-2.281771746;-0.923697047;-0.908780876;-1.673414546;-3.194320917;-2.946865009;-2.655545018;-2.911631736;-3.148640861;-3.067584262;-2.829739475;-1.838822611;-2.108946036;-2.722466609;-2.058585585;-2.217702083;-2.4011094;-2.069673927;-2.226084023;-1.53297587;-1.353994798;-1.500985106;-2.089996816;-1.390825826;-3.280106934;-3.732444557;-3.190475584;-2.359529715;-2.637241561;-3.050522833;-2.442044535;-1.12814049;-1.664619561;-1.565452313;-1.749221389;-1.735882411;-2.639092964;-1.519668561;-1.754129673;-1.908861484;-1.817630637;-2.266544435;-2.381610851;-2.034393246;-2.287811109;-2.553624849;-1.854552845;-2.845647047;-2.181184625;-1.406349847;-2.119160959;-2.252725075;-1.674843387;-1.882946551;-2.271818075;-1.511107434;-1.051219122;-0.77247892;-1.597860818;-1.955657209;-1.485081547;-3.594690992;-2.291567667;-1.609311515;-2.366981203;-1.192271231;-1.590147091;-1.243725843;-1.191614436;-1.049969125;-0.486651881;-1.727185189;-0.813397486;-0.746629285;-1.44013061;-1.790734265;-1.743385381;-0.97574223;-1.255517602;-1.76247787;-1.819289735;-2.736007764;-1.074923749;-1.329752614;-0.963944042;-0.755078061;-0.198959447;-1.645418484;-1.97312743;-1.670934989;-1.179129579;-1.92884422;-2.085376925;-2.311521983;-0.953775835;-1.111132384;-1.083954798;-1.350765365;-0.244855741;-2.092164963;0.061152991;-1.191376037;-0.186197923;-1.577855551;-0.220022374;-1.847885837;-0.470010672;-1.292301055;-0.651718713;-1.314978413;-0.454962778;-0.252345185;-0.810144592;-0.578047637;-1.16783463;-0.131952335;-0.10382501;-0.00745474;-0.376887573;-0.223137951;-1.256371129;-0.34075277;-1.428096198;-1.118436322;-1.119534124;-1.389427435;-0.292906745;-0.536101071;-0.307631755;-1.376765832;0.543986644;0.273949107;1.290129704;0.785131525;-0.836711572;-0.813273937;-0.22314245;-0.945345752;-1.412074295;0.120668647;-1.982870778;-1.346613135;0.093661769;0.633154638;0.422724845;0.813468905;0.967645064;-0.687050598;-0.128322936;-0.099007209;-0.842902867;-0.14379435;-1.016410235;-0.6173249;0.222354775;-0.027765721;0.051396013;-0.853784117;-0.397684603;-0.975754043;-0.546671829;0.21517826;0.642318559;1.048431093;1.079845043;-0.335745612
0.4;-5.422826922;-3.966762614;-4.014855503;-4.00486887;-3.804124871;-4.300514636;-3.958156047;-3.54012198;-3.52610686;-2.556277606;-5.067574002;-3.082929158;-3.181649933;-4.05990248;-2.347333907;-3.330464879;-3.402930698;-3.011223233;-2.485410097;-3.628916831;-3.504490432;-3.560257543;-3.924015067;-4.490391773;-4.582528587;-4.128714284;-4.4322663;-3.815635944;-3.352816287;-3.516209238;-2.805122831;-3.315486547;-4.00859593;-2.527750744;-2.456783624;-4.359784399;-2.494134441;-2.276107195;-2.052516396;-2.062889715;-2.924843263;-3.443646663;-3.309639406;-3.33793882;-3.400933671;-3.605144615;-4.439400507;-3.704605765;-2.238381897;-2.709330427;-4.200217007;-3.866441046;-2.861697844;-3.767705475;-3.820928756;-3.431845553;-2.48484823;-1.923584601;-1.950259911;-2.786925418;-2.483221079;-3.825562404;-3.505768126;-4.001015193;-2.737385807;-4.691216408;-4.059530211;-3.096471242;-1.891928137;-1.632381782;-2.195158782;-2.800768703;-2.941145481;-2.420458712;-2.429083929;-1.171646423;-2.999803179;-2.488325019;-3.557765268;-3.005393845;-2.995980052;-3.333465504;-3.633850878;-2.340280921;-3.14413718;-2.177687975;-2.291262156;-2.231357429;-2.211149705;-2.648667064;-2.827492189;-2.322089756;-2.659161633;-2.142352067;-1.563531428;-2.907095213;-2.602396355;-1.972563524;-2.642880689;-2.732644746;-2.523761442;-2.367394984;-2.283808435;-2.273092441;-2.721881345;-1.994493249;-2.593423444;-0.814417774;-2.258460564;-1.160649276;-1.628599341;-2.252149326;-3.565984115;-3.308260984;-2.13008637;-2.188421465;-2.414894669;-2.520082857;-2.752037432;-2.084265902;-1.796938528;-1.830364242;-2.229985655;-1.066813219;-2.292932781;-2.345932285;-2.719794339;-1.78496336;-2.059102518;-2.251992415;-1.77783206;-1.756493836;-1.170135439;-1.551426751;-1.207477966;-0.76926615;-2.183748282;-2.170410278;-1.139513417;-0.900108873;-1.625777341;-0.757014355;-2.17838187;-2.0652436;-1.764283781;-1.84290926;-2.138735601;-1.057759125;-1.101272531;-1.764652148;-2.168578038;-1.846685754;-0.740309664;-2.114741875;-0.285963876;-1.138963654;-1.17244842;-1.612542462;-2.054565292;-1.567372516;-2.164388484;-1.847173162;-2.548514555;-1.660044978;-1.642858737;-0.662086565;-1.381071539;-0.982539929;-1.302889951;0.128273188;-0.600790069;-1.296371245;-0.90993156;-0.810170891;-1.743498429;-2.416545027;-1.263906211;-1.041243707;-2.184640896;-0.888012028;-0.349453111;-0.523681687;-0.401733868;0.421740203;-0.916459377;-1.844912544;-1.353044221;-1.848587227;-0.862510243;-2.229895666;-1.487527027;0.439424166;-0.689026733;-0.860043121;-1.705395208;-1.130197169;-0.91481897;-1.870336814;-0.757669779;-0.444546179;0.296790379;-0.197492482;-0.028331992
